15608.9 0 0 0 0 0 
4100100.0000000005 0 2 2 2 2 
9458.04 0 4 1 4 1 
9458.04 0 1 4 1 4 
381294.00000000006 0 2 2 3 0 
12282.8 0 5 5 0 3 
10683.2 0 3 0 2 2 
1498.14 0 0 3 5 5 
739.465 0 1 1 1 4 
732.249 0 4 4 4 1 
5022.55 0 5 0 3 5 
381294.00000000006 0 2 3 0 2 
9574.42 0 1 1 5 3 
8285.73 0 4 4 2 0 
63408.7 0 3 2 1 4 
730.637 0 0 5 4 1 
1508.68 0 0 2 5 2 
381110.0 0 3 5 2 5 
276.279 0 5 1 0 0 
89027.59999999999 0 2 4 3 3 
342.827 0 2 0 2 1 
47114.200000000004 0 5 3 5 4 
26061.199999999997 0 4 2 4 0 
197729.0 0 1 5 1 3 
10436.5 0 0 0 3 5 
381294.00000000006 0 3 3 0 2 
13285.5 0 5 2 1 3 
642.381 0 2 5 4 0 
496.503 0 1 1 0 5 
89077.8 0 4 4 3 2 
508.902 0 3 0 5 4 
426301.0 0 0 3 2 1 
10680.300000000001 0 0 1 3 3 
622.568 0 3 4 0 0 
5021.78 0 4 0 2 4 
1521.76 0 1 3 5 1 
502.405 0 2 0 1 4 
2529.4 0 5 3 4 1 
4798.37 0 4 2 5 5 
53012.100000000006 0 1 5 2 2 
1982.1 0 1 0 4 0 
2020.43 0 4 3 1 3 
7311.78 0 5 1 0 2 
79865.0 0 2 4 3 5 
43777.6 0 2 2 2 0 
381136.0 0 5 5 5 3 
20579.9 0 3 1 4 1 
841.719 0 0 4 1 4 
504.603 0 0 1 1 5 
608010.0 0 3 4 4 2 
